nohup: ignoring input
/home/yhang/GAN/InfoGAN-PyTorch/train_classifier.py:148: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  target = torch.tensor(label.view(1, b_size), dtype=torch.long)
Random Seed:  2048
cuda:1  will be used.

-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[1/100][100/1230]	Loss_C: 0.6373
[1/100][200/1230]	Loss_C: 0.5502
[1/100][300/1230]	Loss_C: 0.4847
[1/100][400/1230]	Loss_C: 0.4912
[1/100][500/1230]	Loss_C: 0.4649
[1/100][600/1230]	Loss_C: 0.4635
[1/100][700/1230]	Loss_C: 0.4866
[1/100][800/1230]	Loss_C: 0.5352
[1/100][900/1230]	Loss_C: 0.4400
[1/100][1000/1230]	Loss_C: 0.4678
[1/100][1100/1230]	Loss_C: 0.4679
[1/100][1200/1230]	Loss_C: 0.4313
Time taken for Epoch 1: 10.86s
[2/100][100/1230]	Loss_C: 0.4038
[2/100][200/1230]	Loss_C: 0.4895
[2/100][300/1230]	Loss_C: 0.4235
[2/100][400/1230]	Loss_C: 0.4026
[2/100][500/1230]	Loss_C: 0.4808
[2/100][600/1230]	Loss_C: 0.4866
[2/100][700/1230]	Loss_C: 0.4353
[2/100][800/1230]	Loss_C: 0.4210
[2/100][900/1230]	Loss_C: 0.4055
[2/100][1000/1230]	Loss_C: 0.4454
[2/100][1100/1230]	Loss_C: 0.4280
[2/100][1200/1230]	Loss_C: 0.3998
Time taken for Epoch 2: 9.97s
[3/100][100/1230]	Loss_C: 0.3961
[3/100][200/1230]	Loss_C: 0.3858
[3/100][300/1230]	Loss_C: 0.4105
[3/100][400/1230]	Loss_C: 0.3989
[3/100][500/1230]	Loss_C: 0.3913
[3/100][600/1230]	Loss_C: 0.4173
[3/100][700/1230]	Loss_C: 0.4078
[3/100][800/1230]	Loss_C: 0.4773
[3/100][900/1230]	Loss_C: 0.3526
[3/100][1000/1230]	Loss_C: 0.3864
[3/100][1100/1230]	Loss_C: 0.4362
[3/100][1200/1230]	Loss_C: 0.3911
Time taken for Epoch 3: 10.48s
[4/100][100/1230]	Loss_C: 0.3649
[4/100][200/1230]	Loss_C: 0.3307
[4/100][300/1230]	Loss_C: 0.2586
[4/100][400/1230]	Loss_C: 0.2485
[4/100][500/1230]	Loss_C: 0.3466
[4/100][600/1230]	Loss_C: 0.3310
[4/100][700/1230]	Loss_C: 0.2906
[4/100][800/1230]	Loss_C: 0.3448
[4/100][900/1230]	Loss_C: 0.3215
[4/100][1000/1230]	Loss_C: 0.3246
[4/100][1100/1230]	Loss_C: 0.3496
[4/100][1200/1230]	Loss_C: 0.3168
Time taken for Epoch 4: 10.73s
[5/100][100/1230]	Loss_C: 0.2192
[5/100][200/1230]	Loss_C: 0.2989
[5/100][300/1230]	Loss_C: 0.2046
[5/100][400/1230]	Loss_C: 0.2438
[5/100][500/1230]	Loss_C: 0.2241
[5/100][600/1230]	Loss_C: 0.1971
[5/100][700/1230]	Loss_C: 0.2768
[5/100][800/1230]	Loss_C: 0.2967
[5/100][900/1230]	Loss_C: 0.2181
[5/100][1000/1230]	Loss_C: 0.3621
[5/100][1100/1230]	Loss_C: 0.2784
[5/100][1200/1230]	Loss_C: 0.2264
Time taken for Epoch 5: 10.75s
[6/100][100/1230]	Loss_C: 0.1551
[6/100][200/1230]	Loss_C: 0.2159
[6/100][300/1230]	Loss_C: 0.1176
[6/100][400/1230]	Loss_C: 0.2102
[6/100][500/1230]	Loss_C: 0.1281
[6/100][600/1230]	Loss_C: 0.2077
[6/100][700/1230]	Loss_C: 0.1885
[6/100][800/1230]	Loss_C: 0.1730
[6/100][900/1230]	Loss_C: 0.1589
[6/100][1000/1230]	Loss_C: 0.2035
[6/100][1100/1230]	Loss_C: 0.1959
[6/100][1200/1230]	Loss_C: 0.1563
Time taken for Epoch 6: 10.61s
[7/100][100/1230]	Loss_C: 0.0987
[7/100][200/1230]	Loss_C: 0.0968
