nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=259, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1024, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1024, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): LeakyReLU(negative_slope=0.2)
    (6): Linear(in_features=256, out_features=128, bias=True)
    (7): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[1/100][100/1230]	Loss_D: 0.7618	Loss_G: 2.8169
[1/100][200/1230]	Loss_D: 0.0611	Loss_G: 4.5604
[1/100][300/1230]	Loss_D: -0.1660	Loss_G: 4.9270
[1/100][400/1230]	Loss_D: -0.8237	Loss_G: 4.8712
[1/100][500/1230]	Loss_D: -0.2123	Loss_G: 2.4725
[1/100][600/1230]	Loss_D: -1.7139	Loss_G: 3.3744
[1/100][700/1230]	Loss_D: -2.4400	Loss_G: 4.3362
[1/100][800/1230]	Loss_D: -4.6339	Loss_G: 4.4819
[1/100][900/1230]	Loss_D: -3.6243	Loss_G: 9.9758
[1/100][1000/1230]	Loss_D: 6.8699	Loss_G: 1.1087
[1/100][1100/1230]	Loss_D: 4.7905	Loss_G: 5.0057
[1/100][1200/1230]	Loss_D: -2.8137	Loss_G: 4.5674
Time taken for Epoch 1: 16.56s
[2/100][100/1230]	Loss_D: -2.8387	Loss_G: 4.1366
[2/100][200/1230]	Loss_D: -3.7315	Loss_G: 3.9626
[2/100][300/1230]	Loss_D: -3.4300	Loss_G: 3.8908
[2/100][400/1230]	Loss_D: -4.4202	Loss_G: 3.8342
[2/100][500/1230]	Loss_D: -4.1317	Loss_G: 3.7931
[2/100][600/1230]	Loss_D: -5.3600	Loss_G: 3.7861
[2/100][700/1230]	Loss_D: -4.9911	Loss_G: 3.7824
[2/100][800/1230]	Loss_D: -5.8882	Loss_G: 3.7566
[2/100][900/1230]	Loss_D: -39.1598	Loss_G: 4.2567
[2/100][1000/1230]	Loss_D: -39.4099	Loss_G: 4.6177
[2/100][1100/1230]	Loss_D: -29.2408	Loss_G: 4.8894
[2/100][1200/1230]	Loss_D: -37.8288	Loss_G: 5.1277
Time taken for Epoch 2: 15.95s
[3/100][100/1230]	Loss_D: -32.1096	Loss_G: 5.3594
[3/100][200/1230]	Loss_D: -33.1467	Loss_G: 5.5221
[3/100][300/1230]	Loss_D: -30.0069	Loss_G: 5.6620
[3/100][400/1230]	Loss_D: -32.3261	Loss_G: 5.8006
[3/100][500/1230]	Loss_D: -28.7847	Loss_G: 5.9270
[3/100][600/1230]	Loss_D: -38.2712	Loss_G: 6.0386
[3/100][700/1230]	Loss_D: -35.2724	Loss_G: 6.1468
[3/100][800/1230]	Loss_D: -34.4902	Loss_G: 6.2377
[3/100][900/1230]	Loss_D: -31.1767	Loss_G: 6.3172
[3/100][1000/1230]	Loss_D: -26.9292	Loss_G: 6.4006
[3/100][1100/1230]	Loss_D: -34.4621	Loss_G: 6.4759
[3/100][1200/1230]	Loss_D: -33.5801	Loss_G: 6.5405
Time taken for Epoch 3: 15.94s
[4/100][100/1230]	Loss_D: -1.7510	Loss_G: 5.8941
[4/100][200/1230]	Loss_D: -28.3624	Loss_G: 5.8699
[4/100][300/1230]	Loss_D: -25.9117	Loss_G: 6.0372
[4/100][400/1230]	Loss_D: -34.3608	Loss_G: 6.2086
[4/100][500/1230]	Loss_D: -39.3342	Loss_G: 6.3784
[4/100][600/1230]	Loss_D: -30.4599	Loss_G: 6.5355
[4/100][700/1230]	Loss_D: -39.8371	Loss_G: 6.6633
[4/100][800/1230]	Loss_D: -31.2435	Loss_G: 6.7996
[4/100][900/1230]	Loss_D: -36.7131	Loss_G: 6.8750
[4/100][1000/1230]	Loss_D: -28.1197	Loss_G: 6.9523
[4/100][1100/1230]	Loss_D: -32.9326	Loss_G: 7.0427
[4/100][1200/1230]	Loss_D: -33.6510	Loss_G: 7.0769
Time taken for Epoch 4: 16.13s
[5/100][100/1230]	Loss_D: -43.8712	Loss_G: 7.4461
[5/100][200/1230]	Loss_D: -31.5568	Loss_G: 7.4186
[5/100][300/1230]	Loss_D: -35.4420	Loss_G: 7.7137
[5/100][400/1230]	Loss_D: -22.8943	Loss_G: 7.6927
[5/100][500/1230]	Loss_D: -37.4977	Loss_G: 7.7410
[5/100][600/1230]	Loss_D: -26.4777	Loss_G: 7.9297
[5/100][700/1230]	Loss_D: -32.0294	Loss_G: 7.8216
[5/100][800/1230]	Loss_D: -21.0918	Loss_G: 7.8462
[5/100][900/1230]	Loss_D: -30.4670	Loss_G: 7.8430
