nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=260, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1000, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1000, out_features=256, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=128, bias=True)
    (5): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 2953
-------------------------
[1/100][100/2953]	Loss_D: 1.6159	Loss_G: 2.0046
[1/100][200/2953]	Loss_D: 1.5544	Loss_G: 2.0289
[1/100][300/2953]	Loss_D: 1.5177	Loss_G: 2.0464
[1/100][400/2953]	Loss_D: 1.4910	Loss_G: 2.0691
[1/100][500/2953]	Loss_D: 1.4704	Loss_G: 2.0747
[1/100][600/2953]	Loss_D: 1.4558	Loss_G: 2.0732
[1/100][700/2953]	Loss_D: 1.4351	Loss_G: 2.0700
[1/100][800/2953]	Loss_D: 1.4302	Loss_G: 2.0666
[1/100][900/2953]	Loss_D: 1.4372	Loss_G: 2.0431
[1/100][1000/2953]	Loss_D: 1.4438	Loss_G: 1.9956
[1/100][1100/2953]	Loss_D: 1.4107	Loss_G: 1.9573
[1/100][1200/2953]	Loss_D: 1.3804	Loss_G: 1.9212
[1/100][1300/2953]	Loss_D: 1.3644	Loss_G: 1.8832
[1/100][1400/2953]	Loss_D: 1.3437	Loss_G: 1.8363
[1/100][1500/2953]	Loss_D: 1.3248	Loss_G: 1.7872
[1/100][1600/2953]	Loss_D: 1.2719	Loss_G: 1.7710
[1/100][1700/2953]	Loss_D: 1.2508	Loss_G: 1.7449
[1/100][1800/2953]	Loss_D: 1.2375	Loss_G: 1.7380
[1/100][1900/2953]	Loss_D: 1.1981	Loss_G: 1.7484
[1/100][2000/2953]	Loss_D: 1.1804	Loss_G: 1.7094
[1/100][2100/2953]	Loss_D: 1.1172	Loss_G: 1.7119
[1/100][2200/2953]	Loss_D: 1.1346	Loss_G: 1.6982
[1/100][2300/2953]	Loss_D: 1.0501	Loss_G: 1.6901
[1/100][2400/2953]	Loss_D: 1.0645	Loss_G: 1.6518
[1/100][2500/2953]	Loss_D: 1.0385	Loss_G: 1.6604
[1/100][2600/2953]	Loss_D: 0.9898	Loss_G: 1.6413
[1/100][2700/2953]	Loss_D: 0.9457	Loss_G: 1.6838
[1/100][2800/2953]	Loss_D: 0.9666	Loss_G: 1.6925
[1/100][2900/2953]	Loss_D: 0.9848	Loss_G: 1.6972
Time taken for Epoch 1: 37.83s
[2/100][100/2953]	Loss_D: 0.9034	Loss_G: 1.7948
[2/100][200/2953]	Loss_D: 0.8191	Loss_G: 1.8658
[2/100][300/2953]	Loss_D: 0.7710	Loss_G: 1.9403
[2/100][400/2953]	Loss_D: 0.7113	Loss_G: 1.9597
[2/100][500/2953]	Loss_D: 0.7050	Loss_G: 2.0486
[2/100][600/2953]	Loss_D: 0.6091	Loss_G: 2.1147
[2/100][700/2953]	Loss_D: 0.6991	Loss_G: 2.1705
[2/100][800/2953]	Loss_D: 0.5289	Loss_G: 2.2004
[2/100][900/2953]	Loss_D: 0.5997	Loss_G: 2.1695
[2/100][1000/2953]	Loss_D: 0.5719	Loss_G: 2.1809
[2/100][1100/2953]	Loss_D: 0.5184	Loss_G: 2.1605
[2/100][1200/2953]	Loss_D: 0.4848	Loss_G: 2.0849
[2/100][1300/2953]	Loss_D: 0.4194	Loss_G: 2.0343
[2/100][1400/2953]	Loss_D: 0.5461	Loss_G: 1.7313
[2/100][1500/2953]	Loss_D: 0.9298	Loss_G: 1.1882
[2/100][1600/2953]	Loss_D: 0.8883	Loss_G: 1.0402
[2/100][1700/2953]	Loss_D: 1.0032	Loss_G: 0.9703
[2/100][1800/2953]	Loss_D: 0.9072	Loss_G: 0.9439
[2/100][1900/2953]	Loss_D: 0.8629	Loss_G: 0.9753
[2/100][2000/2953]	Loss_D: 0.9532	Loss_G: 0.9098
[2/100][2100/2953]	Loss_D: 0.9013	Loss_G: 0.8911
[2/100][2200/2953]	Loss_D: 0.6211	Loss_G: 0.9765
[2/100][2300/2953]	Loss_D: 0.7453	Loss_G: 0.9953
[2/100][2400/2953]	Loss_D: 0.6125	Loss_G: 1.0031
[2/100][2500/2953]	Loss_D: 0.6624	Loss_G: 1.0004
[2/100][2600/2953]	Loss_D: 0.7752	Loss_G: 1.0183
[2/100][2700/2953]	Loss_D: 0.7355	Loss_G: 1.0343
[2/100][2800/2953]	Loss_D: 0.5355	Loss_G: 1.0826
[2/100][2900/2953]	Loss_D: 0.3790	Loss_G: 1.0334
Time taken for Epoch 2: 36.59s
[3/100][100/2953]	Loss_D: 0.6930	Loss_G: 1.1280
[3/100][200/2953]	Loss_D: 0.4424	Loss_G: 1.1865
[3/100][300/2953]	Loss_D: 0.1535	Loss_G: 1.2820
[3/100][400/2953]	Loss_D: 0.3071	Loss_G: 1.1916
[3/100][500/2953]	Loss_D: 0.2190	Loss_G: 1.2306
[3/100][600/2953]	Loss_D: 0.3700	Loss_G: 1.2350
[3/100][700/2953]	Loss_D: 0.1603	Loss_G: 1.2863
[3/100][800/2953]	Loss_D: 0.3429	Loss_G: 1.2838
[3/100][900/2953]	Loss_D: 0.3872	Loss_G: 1.2599
[3/100][1000/2953]	Loss_D: 0.2538	Loss_G: 1.2508
[3/100][1100/2953]	Loss_D: -0.0599	Loss_G: 1.3356
[3/100][1200/2953]	Loss_D: -0.1694	Loss_G: 1.5057
[3/100][1300/2953]	Loss_D: 0.1072	Loss_G: 1.5097
[3/100][1400/2953]	Loss_D: -0.1868	Loss_G: 1.5732
[3/100][1500/2953]	Loss_D: -0.5043	Loss_G: 1.6762
[3/100][1600/2953]	Loss_D: -0.0647	Loss_G: 1.7200
[3/100][1700/2953]	Loss_D: -0.3603	Loss_G: 1.8628
[3/100][1800/2953]	Loss_D: -0.0139	Loss_G: 1.7300
[3/100][1900/2953]	Loss_D: -0.0538	Loss_G: 1.7158
[3/100][2000/2953]	Loss_D: -0.3137	Loss_G: 1.8273
[3/100][2100/2953]	Loss_D: -0.1155	Loss_G: 1.7368
[3/100][2200/2953]	Loss_D: -0.0590	Loss_G: 1.7657
[3/100][2300/2953]	Loss_D: -0.0299	Loss_G: 1.9822
[3/100][2400/2953]	Loss_D: -0.6105	Loss_G: 2.0663
[3/100][2500/2953]	Loss_D: -0.2296	Loss_G: 2.2020
[3/100][2600/2953]	Loss_D: -0.8616	Loss_G: 2.3004
[3/100][2700/2953]	Loss_D: -0.0498	Loss_G: 2.3679
[3/100][2800/2953]	Loss_D: -0.8597	Loss_G: 2.4167
[3/100][2900/2953]	Loss_D: -0.8259	Loss_G: 2.3907
Time taken for Epoch 3: 36.22s
[4/100][100/2953]	Loss_D: -0.7056	Loss_G: 2.4541
[4/100][200/2953]	Loss_D: -0.3729	Loss_G: 2.3736
[4/100][300/2953]	Loss_D: -0.7517	Loss_G: 2.3766
[4/100][400/2953]	Loss_D: -0.9941	Loss_G: 2.4156
